lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
expression	Hi, nice to meet you.	Hei, hyggelig å møte deg.	/hæɪ ˈhʏɡəli o ˈmøːtə dæɪ/	Hei, hyggelig å møte deg.	null
expression	What are you up to?	Hva driver du med?	/ʋɑ ˈdriːʋər dʉ meː/	Hva driver du med nå?	null
expression	I am from ...	Jeg er fra ...	/jæɪ ær frɑː/	Jeg er fra Korea.	null
expression	How long have you lived here?	Hvor lenge har du bodd her?	/ʋuːr ˈlɛŋə hɑr dʉ bʊd hɛr/	Hvor lenge har du bodd her?	null
noun	friend	en venn	/ʋɛn/	Han er en god venn.	docs/assets/audio/forvo_no/no_venn_724301_001.mp3
noun	hobby	en hobby	/ˈhɔbi/	Hobbyen min er løping.	docs/assets/audio/forvo_no/no_hobby_4322366_001.mp3
noun	weekend	en helg	/hɛlɡ/	Hva gjør du i helgen?	docs/assets/audio/forvo_no/no_Helg_2187486_001.mp3
noun	plan	en plan	/plɑːn/	Har du en plan for kvelden?	null
verb	to chat	å prate, prater, pratet, har pratet	/ˈprɑːtə/	Vi prater ofte sammen.	null
verb	to meet	å møte, møter, møtte, har møtt	/ˈmøːtə/	Skal vi møtes i morgen?	docs/assets/audio/forvo_no/no_m_te_1482709_001.mp3
verb	to invite	å invitere, inviterer, inviterte, har invitert	/ɪnʋiˈteːrə/	Jeg inviterer deg på middag.	docs/assets/audio/forvo_no/no_invitere_2717361_001.mp3
adjective	tired	sliten	/ˈʂliːtən/	Jeg er litt sliten.	docs/assets/audio/forvo_no/no_sliten_3696453_001.mp3
adjective	hungry	sulten	/ˈsʉltən/	Jeg er sulten nå.	docs/assets/audio/forvo_no/no_sulten_2902163_001.mp3
adverb	maybe	kanskje	/ˈkɑnʂə/	Kanskje vi kan gå en tur.	docs/assets/audio/forvo_no/no_kanskje_4322068_001.mp3
adverb	together	sammen	/ˈsɑmːən/	Vi spiser sammen.	docs/assets/audio/forvo_no/no_sammen_724274_001.mp3
expression	Shall we get a coffee?	Skal vi ta en kaffe?	/skɑl vi tɑː en ˈkɑfə/	Skal vi ta en kaffe senere?	null
expression	That sounds good.	Det høres bra ut.	/deːt ˈhøːrəs brɑː ʉt/	Det høres bra ut.	null
noun	birthday	en bursdag	/ˈbʉʂdɑːɡ/	Bursdagen hennes er i mai.	docs/assets/audio/forvo_no/no_bursdag_439950_001.mp3
noun	neighborhood	et nabolag	/ˈnɑːbuˌlɑːɡ/	Jeg liker nabolaget mitt.	null
expression	Good morning.	God morgen.	/ɡuː ˈmɔrːən/	God morgen!	null
expression	Good evening.	God kveld.	/ɡuː ˈkʋɛl/	God kveld, hvordan går det?	null
expression	Good night.	God natt.	/ɡuː nɑt/	God natt og sov godt.	null
expression	See you later.	Sees senere.	/seːs ˈseːnəre/	Sees senere i dag.	null
expression	See you tomorrow.	Sees i morgen.	/seːs i ˈmɔrːən/	Sees i morgen!	null
expression	Have a nice day.	Ha en fin dag.	/hɑ en fiːn dɑːɡ/	Ha en fin dag videre.	null
expression	Thanks for today.	Takk for i dag.	/tɑk fɔr i dɑːɡ/	Takk for i dag, det var hyggelig.	null
expression	Sorry I'm late.	Beklager at jeg er sen.	/beˈklɑːɡər ɑt jæɪ ær seːn/	Beklager at jeg er sen.	null
expression	No problem.	Ikke noe problem.	/ˈɪkə nuː ˈpruːblɛm/	Ikke noe problem.	null
expression	That's great.	Så bra.	/soː brɑː/	Så bra å høre!	null
expression	That's too bad.	Så synd.	/soː sʏn/	Så synd å høre.	null
expression	What do you do?	Hva jobber du med?	/ʋɑ ˈjɔbːər dʉ mɛ/	Hva jobber du med?	null
expression	Where do you live?	Hvor bor du?	/ʋuːr buːr dʉ/	Hvor bor du nå?	null
expression	Do you like it here?	Liker du det her?	/ˈliːkər dʉ deː hæːr/	Liker du det her?	null
expression	How was your weekend?	Hvordan var helgen?	/ʋuˈdɑn ʋɑːr hɛlɡən/	Hvordan var helgen?	null
expression	Any plans for today?	Har du planer i dag?	/hɑr dʉ ˈplɑːnər i dɑːɡ/	Har du planer i dag?	null
expression	Do you want to join?	Vil du være med?	/ʋɪl dʉ ˈʋæːrə mɛ/	Vil du være med?	null
expression	Let's keep in touch.	La oss holde kontakten.	/lɑ ɔs ˈhɔldə kɔnˈtɑktən/	La oss holde kontakten.	null
expression	I have to go.	Jeg må gå.	/jæɪ mɔː ɡoː/	Jeg må gå nå.	null
expression	I'll be right back.	Jeg er straks tilbake.	/jæɪ ær strɑks tɪlˈbɑkə/	Jeg er straks tilbake.	null
expression	Do you have time?	Har du tid?	/hɑr dʉ tiːd/	Har du tid i dag?	null
noun	family	en familie	/fɑˈmiːliə/	Familien min bor i Oslo.	docs/assets/audio/forvo_no/no_Familie_353362_001.mp3
noun	parent	en forelder	/ˈfuːrəldrə/	Forelderen min er hjemme.	null
noun	mother	en mor	/muːr/	Moren min er lærer.	docs/assets/audio/forvo_no/no_mor_743166_001.mp3
noun	father	en far	/fɑːr/	Faren min jobber i bank.	docs/assets/audio/forvo_no/no_far_724304_001.mp3
noun	sister	en søster	/ˈsœstər/	Søsteren min bor her.	docs/assets/audio/forvo_no/no_S_ster_2621885_001.mp3
noun	brother	en bror	/broːr/	Broren min liker fotball.	docs/assets/audio/forvo_no/no_Bror_353345_001.mp3
noun	child	et barn	/bɑːrn/	Barnet vårt er tre år.	docs/assets/audio/forvo_no/no_barn_141817_001.mp3
noun	teenager	en tenåring	/ˈteːnɔrɪŋ/	Tenåringen vår går på videregående.	docs/assets/audio/forvo_no/no_ten_ring_2902110_001.mp3
noun	partner	en partner	/ˈpɑʈnər/	Partneren min er norsk.	docs/assets/audio/forvo_no/no_partner_1167227_001.mp3
noun	spouse	en ektefelle	/ˈɛktəˌfɛlːə/	Ektefellen hans jobber hjemme.	docs/assets/audio/forvo_no/no_ektefelle_4874519_001.mp3
noun	neighbor	en nabo	/ˈnɑːbu/	Naboen er hyggelig.	docs/assets/audio/forvo_no/no_nabo_1065447_001.mp3
noun	colleague	en kollega	/kʊˈleːɡɑ/	Kollegaen min er ny.	docs/assets/audio/forvo_no/no_kollega_2901844_001.mp3
noun	friendship	en vennskap	/ˈʋɛnːskɑp/	Vennskap er viktig.	docs/assets/audio/forvo_no/no_vennskap_691835_001.mp3
noun	conversation	en samtale	/ˈsɑmːtɑːlə/	Vi har en god samtale.	docs/assets/audio/forvo_no/no_samtale_743141_001.mp3
noun	topic	et tema	/ˈteːmɑ/	Hva er temaet?	docs/assets/audio/forvo_no/no_tema_4615117_001.mp3
noun	news item	en nyhet	/ˈnyːheːtər/	Har du lest en nyhet?	docs/assets/audio/forvo_no/no_nyhet_825785_001.mp3
noun	weather	et vær	/ʋæːr/	Været er fint i dag.	null
noun	sport	en sport	/spɔʈ/	Driver du med sport?	docs/assets/audio/forvo_no/no_sport_1624443_001.mp3
noun	football	en fotball	/ˈfuːtbɑl/	Jeg spiller fotball.	docs/assets/audio/forvo_no/no_fotball_2820039_001.mp3
noun	music	en musikk	/mʉˈsɪk/	Jeg liker rolig musikk.	docs/assets/audio/forvo_no/no_musikk_1065458_001.mp3
noun	movie	en film	/fɪlm/	Vi ser en film i kveld.	docs/assets/audio/forvo_no/no_film_1671481_001.mp3
noun	book	en bok	/buːk/	Jeg leser en bok.	docs/assets/audio/forvo_no/no_bok_1065709_001.mp3
noun	series	en tv-serie	/ˈteːʋeːˌseːriə/	Jeg følger en tv-serie.	null
noun	coffee	en kaffe	/ˈkɑfːə/	Skal vi ta en kaffe?	docs/assets/audio/forvo_no/no_kaffe_152355_001.mp3
noun	walk	en tur	/tʉːr/	En tur i parken er fint.	docs/assets/audio/forvo_no/no_tur_2005308_001.mp3
noun	party	en fest	/fɛst/	Det er fest på lørdag.	docs/assets/audio/forvo_no/no_fest_1063308_001.mp3
noun	invitation	en invitasjon	/ɪnʋɪtɑˈʂuːn/	Takk for invitasjonen.	docs/assets/audio/forvo_no/no_invitasjon_4758560_001.mp3
noun	gift	en gave	/ˈɡɑːʋə/	Jeg har med en gave.	docs/assets/audio/forvo_no/no_gave_3522488_001.mp3
noun	home	en hjem	/jɛm/	Jeg skal hjem nå.	docs/assets/audio/forvo_no/no_hjem_1856710_001.mp3
noun	city	en by	/byː/	Oslo er en stor by.	docs/assets/audio/forvo_no/no_by_1068244_001.mp3
noun	country	et land	/lɑn/	Landet mitt er Korea.	docs/assets/audio/forvo_no/no_land_1167218_001.mp3
verb	to call	å ringe, ringer, ringte, har ringt	/ˈrɪŋə/	Jeg ringer deg senere.	docs/assets/audio/forvo_no/no_ringe_743140_001.mp3
verb	to text	å sende melding, sender melding, sendet melding, har sendet melding	/ˈsɛnːə ˈmɛldɪŋ/	Jeg sender melding nå.	null
verb	to answer	å svare, svarer, svarte, har svart	/ˈsʋɑːrə/	Han svarer ikke.	docs/assets/audio/forvo_no/no_svare_1331464_001.mp3
verb	to visit	å besøke, besøker, besøkte, har besøkt	/beˈsøːkə/	Vi besøker venner i helgen.	docs/assets/audio/forvo_no/no_bes_ke_1068363_001.mp3
verb	to enjoy	å kose seg, koser seg, koset seg, har koset seg	/ˈkuːsə sæɪ/	Vi koser oss i kveld.	docs/assets/audio/forvo_no/no_kose_seg_2902020_001.mp3
verb	to relax	å slappe av, slapper av, slappet av, har slappet av	/ˈslɑpːə ɑːʋ/	Jeg slapper av hjemme.	null
verb	to like	å like, liker, likte, har likt	/ˈliːkə/	Jeg liker denne sangen.	docs/assets/audio/forvo_no/no_like_1331483_001.mp3
verb	to dislike	å mislike, misliker, mislikte, har mislikt	/ˈmɪsˌliːkə/	Jeg misliker kaldt vær.	docs/assets/audio/forvo_no/no_mislike_4761765_001.mp3
verb	to agree	å være enig, er enig, var enig, har vært enig	/ˈʋæːrə ˈæɪnɪɡ/	Jeg er enig med deg.	null
verb	to disagree	å være uenig, er uenig, var uenig, har vært uenig	/ˈʋæːrə ˈʉːæɪnɪɡ/	Jeg er uenig i det.	null
verb	to promise	å love, lover, lovet, har lovet	/ˈluːʋə/	Jeg lover å ringe.	docs/assets/audio/forvo_no/no_love_4741765_001.mp3
verb	to laugh	å le, ler, lo, har ledd	/leː/	Vi ler mye sammen.	docs/assets/audio/forvo_no/no_le_4331361_001.mp3
verb	to smile	å smile, smiler, smilte, har smilt	/ˈsmiːlə/	Han smiler ofte.	docs/assets/audio/forvo_no/no_smile_2901962_001.mp3
verb	to worry	å bekymre seg, bekymrer seg, bekymret seg, har bekymret seg	/beˈçʉmːrə sæɪ/	Ikke bekymre deg.	null
adjective	good	bra	/brɑː/	Det er bra.	docs/assets/audio/forvo_no/no_bra_7293930_001.mp3
adjective	fine	fin	/fiːn/	Du ser fin ut i dag.	docs/assets/audio/forvo_no/no_fin_8261927_001.mp3
adjective	happy	glad	/ɡlɑː/	Jeg er glad i dag.	docs/assets/audio/forvo_no/no_glad_2330542_001.mp3
adjective	sad	lei seg	/ˈlæɪ sæɪ/	Hun er litt lei seg.	null
adjective	busy	opptatt	/ˈɔpːtɑt/	Jeg er opptatt nå.	docs/assets/audio/forvo_no/no_opptatt_1951848_001.mp3
adjective	free	ledig	/ˈleːdi/	Er du ledig i morgen?	docs/assets/audio/forvo_no/no_ledig_4331367_001.mp3
adjective	interested	interessert	/ɪntəˈrɛsːæʈ/	Jeg er interessert i språk.	docs/assets/audio/forvo_no/no_interessert_825803_001.mp3
adjective	nervous	nervøs	/nærˈʋøːs/	Jeg er litt nervøs.	null
adjective	proud	stolt	/stɔlt/	Jeg er stolt av deg.	docs/assets/audio/forvo_no/no_stolt_805123_001.mp3
adjective	curious	nysgjerrig	/ˈnyːʂærɪɡ/	Jeg er nysgjerrig.	docs/assets/audio/forvo_no/no_nysgjerrig_991245_001.mp3
adjective	kind	snill	/snɪl/	Han er veldig snill.	docs/assets/audio/forvo_no/no_snill_1363397_001.mp3
adjective	polite	høflig	/ˈhœflɪ/	Hun er høflig.	docs/assets/audio/forvo_no/no_h_flig_767377_001.mp3
adjective	fun	morsom	/ˈmɔrːsʊm/	Han er morsom.	docs/assets/audio/forvo_no/no_morsom_837456_001.mp3
expression	What is your name?	Hva heter du?	/ʋɑ ˈheːtər dʉ/	Hva heter du?	null
expression	Nice to meet you too.	Hyggelig å møte deg også.	/ˈhʏɡəli o ˈmøːtə dæɪ ˈɔsɔ/	Hyggelig å møte deg også.	null
expression	Long time no see.	Lenge siden sist.	/ˈlɛŋə ˈsiːdən sɪst/	Lenge siden sist!	null
expression	What do you do for work?	Hva jobber du som?	/ʋɑ ˈjɔbːər dʉ sɔm/	Hva jobber du som?	null
expression	Do you want to hang out?	Vil du henge?	/ʋɪl dʉ ˈhɛŋə/	Vil du henge i helgen?	null
noun	hometown	en hjemby	/ˈjɛmˌbyː/	Hjembyen min er liten.	docs/assets/audio/forvo_no/no_hjemby_2331022_001.mp3
noun	language	en språk	/sprɔk/	Hvilke språk snakker du?	docs/assets/audio/forvo_no/no_spr_k_780186_001.mp3
adjective	excited	spent	/spɛnt/	Jeg er spent.	null
adjective	calm	rolig	/ˈruːli/	Jeg er rolig nå.	docs/assets/audio/forvo_no/no_rolig_1365725_001.mp3
expression	Nice to see you.	Hyggelig å se deg.	/ˈhʏɡəli o seː dæɪ/	Hyggelig å se deg igjen.	null
noun	greeting	en hilsen	/ˈhɪlsən/	Jeg sendte en hilsen i går.	docs/assets/audio/forvo_no/no_hilsen_6123632_001.mp3
noun	question	et spørsmål	/ˈspœʂmoːl/	Kan jeg stille et spørsmål?	docs/assets/audio/forvo_no/no_sp_rsm_l_3243322_001.mp3
noun	answer	et svar	/sʋɑːr/	Takk for et raskt svar.	docs/assets/audio/forvo_no/no_svar_1167189_001.mp3
noun	contact	en kontakt	/kɔnˈtɑkt/	Jeg fikk en ny kontakt i dag.	docs/assets/audio/forvo_no/no_kontakt_825806_001.mp3
noun	phone call	en telefonsamtale	/teleˈfuːnˌsɑmtɑːlə/	Vi hadde en lang telefonsamtale.	null
noun	profile	en profil	/pruˈfiːl/	Han oppdaterte en profil på nett.	docs/assets/audio/forvo_no/no_profil_3658036_001.mp3
noun	nickname	et kallenavn	/ˈkɑlənɑʋn/	Hun har et morsomt kallenavn.	docs/assets/audio/forvo_no/no_kallenavn_2330887_001.mp3
noun	conversation partner	en samtalepartner	/ˈsɑmtɑːləˌpɑʈnər/	Hun er en god samtalepartner.	null
noun	comment	en kommentar	/kɔmənˈtɑːr/	Takk for en hyggelig kommentar.	docs/assets/audio/forvo_no/no_Kommentar_4324834_001.mp3
noun	discussion	en diskusjon	/dɪskuˈʂuːn/	Vi hadde en rolig diskusjon.	docs/assets/audio/forvo_no/no_diskusjon_622439_001.mp3
noun	acquaintance	en bekjent	/beˈçɛnt/	Han er en bekjent fra norskkurset.	docs/assets/audio/forvo_no/no_bekjent_582460_001.mp3
noun	name	et navn	/nɑʋn/	Hva er navnet ditt?	docs/assets/audio/forvo_no/no_navn_6912848_001.mp3
noun	meeting	et møte	/ˈmøːtə/	Vi har et møte i morgen.	docs/assets/audio/forvo_no/no_m_te_1482709_001.mp3
noun	appointment	en avtale	/ˈɑʋtɑːlə/	Jeg har en avtale etter jobb.	null
noun	guest	en gjest	/jɛst/	Vi får en gjest i kveld.	null
noun	host	en vert	/ʋæʈ/	Han er vert på festen.	docs/assets/audio/forvo_no/no_vert_8404993_001.mp3
noun	joke	en vits	/ʋɪts/	Hun fortalte en morsom vits.	docs/assets/audio/forvo_no/no_vits_4747281_001.mp3
noun	compliment	et kompliment	/kʊmplɪˈmɛnt/	Takk for et fint kompliment.	null
noun	opinion	en mening	/ˈmeːnɪŋ/	Jeg vil høre meningen din.	docs/assets/audio/forvo_no/no_mening_856519_001.mp3
noun	chat	en prat	/prɑːt/	Vi tok en kort prat etter møtet.	docs/assets/audio/forvo_no/no_prat_4328322_001.mp3
noun	small talk	en småprat	/ˈsmoːprɑːt/	Vi tok en liten småprat i køen.	null
noun	message	en melding	/ˈmɛlːɪŋ/	Jeg sendte deg en melding.	null
noun	smile	et smil	/smiːl/	Hun ga meg et smil.	null
noun	laugh	en latter	/ˈlɑtːər/	Han har en smittsom latter.	docs/assets/audio/forvo_no/no_latter_4331378_001.mp3
noun	story	en historie	/hɪsˈtuːrɪə/	Kan du fortelle en historie?	null
noun	song	en sang	/sɑŋ/	Har du en favorittsang?	docs/assets/audio/forvo_no/no_sang_780309_001.mp3
noun	suggestion	et forslag	/ˈfɔrslɑːɡ/	Jeg har et forslag.	docs/assets/audio/forvo_no/no_forslag_7666960_001.mp3
noun	break	en pause	/ˈpæʉsə/	Skal vi ta en pause?	null
noun	recommendation	en anbefaling	/ˈɑːnbəfɑːlɪŋ/	Har du en anbefaling?	null
noun	podcast	en podkast	/ˈpɔdkast/	Jeg hører på en podkast på vei til jobb.	null
noun	hug	en klem	/klɛm/	Jeg ga henne en klem.	docs/assets/audio/forvo_no/no_klem_294341_001.mp3
noun	handshake	et håndtrykk	/ˈhɔnːtrʏk/	Vi hilste med et håndtrykk.	null
noun	introduction	en introduksjon	/ɪntrʉdʉkˈʂuːn/	La meg gi en kort introduksjon.	docs/assets/audio/forvo_no/no_introduksjon_4761404_001.mp3
noun	impression	et inntrykk	/ˈɪnːtrʏk/	Det ga et godt inntrykk.	docs/assets/audio/forvo_no/no_inntrykk_3317262_001.mp3
noun	atmosphere	en stemning	/ˈstɛmːnɪŋ/	Det var god stemning på festen.	docs/assets/audio/forvo_no/no_stemning_1066842_001.mp3
noun	event	et arrangement	/ɑrɑŋəˈmɑŋ/	Det er et hyggelig arrangement i kveld.	docs/assets/audio/forvo_no/no_arrangement_2330673_001.mp3
noun	phone number	et telefonnummer	/tɛləˈfuːnˌnʉmːər/	Kan jeg få telefonnummeret ditt?	docs/assets/audio/forvo_no/no_Telefonnummer_2187542_001.mp3
noun	address	en adresse	/ɑˈdrɛsːə/	Hva er adressen din?	docs/assets/audio/forvo_no/no_Adresse_351590_001.mp3
noun	chance	en sjanse	/ˈʂɑnsə/	Jeg har en sjanse til å snakke med henne i morgen.	null
noun	promise	et løfte	/ˈlœftə/	Jeg ga ham et løfte.	docs/assets/audio/forvo_no/no_l_fte_1065513_001.mp3
